image_id,operations
ISIC_0028520,Hair Removal
ISIC_0034000,"Brightness Normalization, Minimal Enhancement"
ISIC_0032807,"Brightness Normalization, CLAHE"
ISIC_0032645,Minimal Enhancement
ISIC_0033498,"Brightness Normalization, Minimal Enhancement"
ISIC_0031784,"Hair Removal, Brightness Correction, Denoising"
ISIC_0034275,"Brightness Correction, Denoising"
ISIC_0033440,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033807,"Hair Removal, Brightness Correction, CLAHE"
ISIC_0033533,CLAHE
ISIC_0034173,"Hair Removal, Brightness Correction, Minimal Enhancement"
ISIC_0033454,"Denoising, Minimal Enhancement"
ISIC_0033893,"Hair Removal, Denoising"
ISIC_0028225,CLAHE
ISIC_0032960,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033708,Minimal Enhancement
ISIC_0034317,"Brightness Normalization, Minimal Enhancement"
ISIC_0031741,
ISIC_0033662,Minimal Enhancement
ISIC_0033037,"Brightness Normalization, Minimal Enhancement"
ISIC_0033773,"Brightness Normalization, CLAHE"
ISIC_0033752,"Hair Removal, Brightness Correction, Denoising"
ISIC_0033424,CLAHE
ISIC_0034216,"Denoising, Minimal Enhancement"
ISIC_0032152,"Brightness Normalization, CLAHE, Denoising"
ISIC_0033730,"Brightness Normalization, Minimal Enhancement"
ISIC_0032975,Minimal Enhancement
ISIC_0034243,"Hair Removal, Brightness Correction, Denoising"
ISIC_0034050,"Brightness Normalization, Minimal Enhancement"
ISIC_0033114,"Brightness Normalization, Minimal Enhancement"
ISIC_0032559,
ISIC_0030150,"Brightness Normalization, Minimal Enhancement"
ISIC_0033394,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0034233,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033122,"Hair Removal, Brightness Normalization, CLAHE"
ISIC_0033713,"Brightness Normalization, CLAHE"
ISIC_0026081,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0033638,"CLAHE, Denoising"
ISIC_0033805,CLAHE
ISIC_0033302,CLAHE
ISIC_0033925,"CLAHE, Denoising"
ISIC_0033431,CLAHE
ISIC_0033089,Minimal Enhancement
ISIC_0033562,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031233,"Brightness Normalization, Minimal Enhancement"
ISIC_0033885,CLAHE
ISIC_0027204,"Brightness Normalization, CLAHE"
ISIC_0032987,"Denoising, Minimal Enhancement"
ISIC_0032872,CLAHE
ISIC_0033178,CLAHE
ISIC_0033023,
ISIC_0031186,Minimal Enhancement
ISIC_0033258,CLAHE
ISIC_0032870,"Brightness Normalization, Minimal Enhancement"
ISIC_0033999,"Hair Removal, Brightness Normalization, Denoising"
ISIC_0033856,Minimal Enhancement
ISIC_0024929,"Brightness Normalization, CLAHE, Denoising"
ISIC_0028148,Minimal Enhancement
ISIC_0027069,CLAHE
ISIC_0029502,
ISIC_0024459,CLAHE
ISIC_0029933,"Brightness Normalization, Minimal Enhancement"
ISIC_0031208,Minimal Enhancement
ISIC_0026545,Brightness Correction
ISIC_0026268,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027282,"Hair Removal, Brightness Correction, Denoising"
ISIC_0029092,Minimal Enhancement
ISIC_0025708,
ISIC_0024806,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0032424,
ISIC_0028584,"Brightness Correction, Minimal Enhancement"
ISIC_0027838,"Brightness Correction, CLAHE"
ISIC_0031554,Minimal Enhancement
ISIC_0025472,"Brightness Normalization, Minimal Enhancement"
ISIC_0028173,CLAHE
ISIC_0025520,
ISIC_0032466,"Hair Removal, CLAHE, Denoising"
ISIC_0028465,"Hair Removal, Brightness Normalization, Denoising"
ISIC_0026770,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0028463,Minimal Enhancement
ISIC_0024640,"Brightness Normalization, Minimal Enhancement"
ISIC_0024962,"Brightness Normalization, Minimal Enhancement"
ISIC_0024823,Brightness Correction
ISIC_0029914,Brightness Correction
ISIC_0026089,CLAHE
ISIC_0024930,"Hair Removal, Brightness Correction"
ISIC_0024449,Hair Removal
ISIC_0032110,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0026500,Brightness Correction
ISIC_0025512,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0024999,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027622,"Brightness Correction, Denoising"
ISIC_0026352,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0024688,"Brightness Normalization, CLAHE"
ISIC_0024552,"Brightness Normalization, Minimal Enhancement"
ISIC_0026438,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0028126,Minimal Enhancement
ISIC_0027669,"Brightness Correction, Minimal Enhancement"
ISIC_0031795,Brightness Correction
ISIC_0031408,"Brightness Correction, CLAHE"
ISIC_0025313,Minimal Enhancement
ISIC_0028198,"Brightness Normalization, Minimal Enhancement"
ISIC_0027144,"Brightness Correction, CLAHE"
ISIC_0025085,Minimal Enhancement
ISIC_0031034,"Hair Removal, Denoising"
ISIC_0025097,"Brightness Normalization, CLAHE, Denoising"
ISIC_0031666,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0029819,"Hair Removal, Brightness Correction, Denoising"
ISIC_0026167,"Brightness Normalization, Minimal Enhancement"
ISIC_0028984,"Hair Removal, Brightness Correction, Denoising"
ISIC_0032197,"Brightness Normalization, CLAHE"
ISIC_0025524,Minimal Enhancement
ISIC_0025963,"Brightness Correction, Minimal Enhancement"
ISIC_0025121,"Denoising, Minimal Enhancement"
ISIC_0032134,Minimal Enhancement
ISIC_0028114,Minimal Enhancement
ISIC_0027673,Brightness Correction
ISIC_0024701,"Hair Removal, Denoising"
ISIC_0030390,CLAHE
ISIC_0030756,"Brightness Normalization, CLAHE"
ISIC_0027561,"Hair Removal, Brightness Correction, CLAHE"
ISIC_0025439,
ISIC_0030187,
ISIC_0030970,"Hair Removal, Denoising"
ISIC_0030754,"Brightness Correction, Denoising"
ISIC_0030034,"Hair Removal, Denoising"
ISIC_0029397,"Hair Removal, Brightness Correction"
ISIC_0025316,"Hair Removal, Minimal Enhancement"
ISIC_0029316,CLAHE
ISIC_0027552,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0026954,Minimal Enhancement
ISIC_0028760,Minimal Enhancement
ISIC_0027620,CLAHE
ISIC_0028965,"Brightness Correction, CLAHE"
ISIC_0030356,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027407,"Hair Removal, CLAHE"
ISIC_0024700,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027793,"Hair Removal, Denoising"
ISIC_0026989,CLAHE
ISIC_0030192,Minimal Enhancement
ISIC_0029859,"Brightness Normalization, Minimal Enhancement"
ISIC_0028003,Minimal Enhancement
ISIC_0026506,"Hair Removal, Denoising"
ISIC_0025145,"Hair Removal, Minimal Enhancement"
ISIC_0029013,Brightness Correction
ISIC_0031077,CLAHE
ISIC_0031999,CLAHE
ISIC_0030366,"Brightness Correction, Minimal Enhancement"
ISIC_0032245,Minimal Enhancement
ISIC_0028481,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0029172,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0031386,"Brightness Normalization, CLAHE"
ISIC_0031565,"Brightness Normalization, Minimal Enhancement"
ISIC_0027302,Minimal Enhancement
ISIC_0029056,"Brightness Correction, Minimal Enhancement"
ISIC_0028548,"Brightness Normalization, Minimal Enhancement"
ISIC_0030512,Minimal Enhancement
ISIC_0031718,"Brightness Normalization, CLAHE"
ISIC_0029591,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0030932,Minimal Enhancement
ISIC_0028899,"Hair Removal, Brightness Correction"
ISIC_0032036,"Denoising, Minimal Enhancement"
ISIC_0024644,"Brightness Correction, Minimal Enhancement"
ISIC_0031543,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027065,Minimal Enhancement
ISIC_0028228,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0030107,"Brightness Normalization, CLAHE"
ISIC_0028537,
ISIC_0025238,Minimal Enhancement
ISIC_0029698,Minimal Enhancement
ISIC_0029937,Minimal Enhancement
ISIC_0027171,"Brightness Normalization, Minimal Enhancement"
ISIC_0026207,CLAHE
ISIC_0028543,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025651,Minimal Enhancement
ISIC_0027900,
ISIC_0030360,Brightness Correction
ISIC_0029843,"Brightness Correction, Minimal Enhancement"
ISIC_0028718,"Brightness Normalization, Minimal Enhancement"
ISIC_0025748,Denoising
ISIC_0027130,CLAHE
ISIC_0029454,Minimal Enhancement
ISIC_0028051,Brightness Correction
ISIC_0026094,"Denoising, Minimal Enhancement"
ISIC_0024571,
ISIC_0027155,Minimal Enhancement
ISIC_0027328,"Hair Removal, Denoising"
ISIC_0030501,"Brightness Normalization, CLAHE"
ISIC_0024546,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0024525,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0030382,"Brightness Normalization, Minimal Enhancement"
ISIC_0028017,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0029033,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0029146,"Hair Removal, Brightness Correction, Denoising"
ISIC_0028288,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0026009,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0029089,"Hair Removal, Brightness Correction"
ISIC_0027030,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0030689,"Brightness Correction, Minimal Enhancement"
ISIC_0024516,CLAHE
ISIC_0032420,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025248,Minimal Enhancement
ISIC_0026266,"Brightness Normalization, Minimal Enhancement"
ISIC_0028418,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0025268,CLAHE
ISIC_0029744,"Brightness Normalization, CLAHE, Denoising, Minimal Enhancement"
ISIC_0025800,"Brightness Normalization, Minimal Enhancement"
ISIC_0032425,
ISIC_0027442,Minimal Enhancement
ISIC_0024940,
ISIC_0024351,
ISIC_0030110,CLAHE
ISIC_0025132,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031494,"Brightness Normalization, Minimal Enhancement"
ISIC_0028306,Denoising
ISIC_0026916,CLAHE
ISIC_0027863,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027702,
ISIC_0028847,Brightness Correction
ISIC_0024961,
ISIC_0029319,
ISIC_0032219,
ISIC_0025127,"Hair Removal, Denoising"
ISIC_0029318,Minimal Enhancement
ISIC_0032070,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0026796,"Hair Removal, Brightness Correction, Minimal Enhancement"
ISIC_0026811,"Brightness Normalization, CLAHE"
ISIC_0029839,
ISIC_0030747,"Brightness Correction, CLAHE"
ISIC_0026604,Brightness Correction
ISIC_0028777,"Brightness Normalization, Minimal Enhancement"
ISIC_0026877,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027964,CLAHE
ISIC_0030784,"Hair Removal, Denoising"
ISIC_0031146,Brightness Correction
ISIC_0025755,Brightness Correction
ISIC_0029157,"Hair Removal, Denoising"
ISIC_0024952,"Brightness Correction, Denoising"
ISIC_0025546,"CLAHE, Denoising"
ISIC_0031239,"CLAHE, Denoising"
ISIC_0026868,"Brightness Correction, Minimal Enhancement"
ISIC_0027742,Brightness Correction
ISIC_0027105,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0027502,Minimal Enhancement
ISIC_0031529,CLAHE
ISIC_0027420,"Hair Removal, Minimal Enhancement"
ISIC_0030843,"Hair Removal, Denoising"
ISIC_0028898,"Denoising, Minimal Enhancement"
ISIC_0027071,Minimal Enhancement
ISIC_0029780,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0030616,"Brightness Correction, Minimal Enhancement"
ISIC_0025391,CLAHE
ISIC_0025413,"Hair Removal, Brightness Correction, Denoising"
ISIC_0032192,"Hair Removal, Denoising"
ISIC_0024323,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0027436,"Brightness Normalization, Minimal Enhancement"
ISIC_0032372,Minimal Enhancement
ISIC_0026694,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0024313,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031915,Hair Removal
ISIC_0028929,Minimal Enhancement
ISIC_0026746,"Hair Removal, Denoising"
ISIC_0026774,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0030047,Denoising
ISIC_0030910,"Brightness Normalization, Minimal Enhancement"
ISIC_0029238,"Brightness Normalization, CLAHE"
ISIC_0028685,"Brightness Correction, CLAHE"
ISIC_0027663,"Brightness Normalization, Minimal Enhancement"
ISIC_0028065,"Denoising, Minimal Enhancement"
ISIC_0026571,"Hair Removal, Denoising"
ISIC_0031670,Minimal Enhancement
ISIC_0031339,"Brightness Normalization, Minimal Enhancement"
ISIC_0027021,"Brightness Correction, Minimal Enhancement"
ISIC_0032430,"Brightness Normalization, Minimal Enhancement"
ISIC_0027573,"Brightness Normalization, Minimal Enhancement"
ISIC_0026847,"Brightness Normalization, Minimal Enhancement"
ISIC_0027517,Minimal Enhancement
ISIC_0026229,Hair Removal
ISIC_0029958,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0032476,Hair Removal
ISIC_0031170,"Hair Removal, Minimal Enhancement"
ISIC_0030423,"Hair Removal, Denoising"
ISIC_0024652,"Brightness Normalization, CLAHE, Denoising"
ISIC_0029353,CLAHE
ISIC_0032504,CLAHE
ISIC_0027956,Minimal Enhancement
ISIC_0029170,"Brightness Normalization, CLAHE"
ISIC_0029995,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031908,CLAHE
ISIC_0026897,"Brightness Normalization, CLAHE, Denoising, Minimal Enhancement"
ISIC_0030653,"Brightness Normalization, CLAHE"
ISIC_0026586,Minimal Enhancement
ISIC_0027101,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0025732,"Hair Removal, Denoising"
ISIC_0030950,Minimal Enhancement
ISIC_0025195,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0026652,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0029885,"Brightness Normalization, Minimal Enhancement"
ISIC_0025409,"Brightness Normalization, CLAHE, Denoising, Minimal Enhancement"
ISIC_0028709,"Brightness Normalization, Minimal Enhancement"
ISIC_0025814,CLAHE
ISIC_0026853,"Hair Removal, Denoising"
ISIC_0031550,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0028227,"Brightness Correction, Minimal Enhancement"
ISIC_0027163,Minimal Enhancement
ISIC_0029642,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0029893,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031417,CLAHE
ISIC_0024647,Minimal Enhancement
ISIC_0028567,"Brightness Normalization, Minimal Enhancement"
ISIC_0028103,
ISIC_0030695,Hair Removal
ISIC_0024554,Brightness Correction
ISIC_0031203,"Hair Removal, Denoising"
ISIC_0030183,"Brightness Normalization, Minimal Enhancement"
ISIC_0024679,"Hair Removal, Brightness Correction, Denoising"
ISIC_0026690,"Brightness Normalization, Minimal Enhancement"
ISIC_0031401,"Brightness Normalization, Minimal Enhancement"
ISIC_0027089,Minimal Enhancement
ISIC_0026239,
ISIC_0030255,"Hair Removal, Brightness Normalization, Denoising"
ISIC_0029495,"Brightness Normalization, Minimal Enhancement"
ISIC_0032269,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031350,CLAHE
ISIC_0025832,"Brightness Normalization, Minimal Enhancement"
ISIC_0026105,Minimal Enhancement
ISIC_0029574,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027179,Minimal Enhancement
ISIC_0026930,"Brightness Normalization, Minimal Enhancement"
ISIC_0030246,Brightness Correction
ISIC_0027350,"Hair Removal, Brightness Correction, Denoising"
ISIC_0028218,"Hair Removal, Brightness Correction, Denoising"
ISIC_0024805,"Brightness Normalization, Minimal Enhancement"
ISIC_0030032,Minimal Enhancement
ISIC_0025543,Brightness Correction
ISIC_0026870,Brightness Correction
ISIC_0026738,"Hair Removal, Denoising"
ISIC_0026131,"Brightness Correction, CLAHE"
ISIC_0025663,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0025105,Brightness Correction
ISIC_0028860,"Denoising, Minimal Enhancement"
ISIC_0031561,"Brightness Normalization, Minimal Enhancement"
ISIC_0025766,"Brightness Correction, Denoising"
ISIC_0031410,"Brightness Correction, CLAHE"
ISIC_0027560,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025573,"Hair Removal, Brightness Correction"
ISIC_0029705,Brightness Correction
ISIC_0032207,CLAHE
ISIC_0032149,"Brightness Correction, CLAHE"
ISIC_0024733,
ISIC_0032433,"CLAHE, Denoising"
ISIC_0027480,"Brightness Normalization, Minimal Enhancement"
ISIC_0031931,"Hair Removal, CLAHE"
ISIC_0026558,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0027590,"Brightness Correction, CLAHE"
ISIC_0030083,Minimal Enhancement
ISIC_0030002,Minimal Enhancement
ISIC_0029271,Brightness Correction
ISIC_0028033,Minimal Enhancement
ISIC_0032204,Brightness Correction
ISIC_0032095,"Hair Removal, Brightness Correction, CLAHE"
ISIC_0028773,"Hair Removal, Denoising"
ISIC_0031821,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0030795,
ISIC_0027507,"Hair Removal, Brightness Correction, Denoising"
ISIC_0026802,Minimal Enhancement
ISIC_0028026,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0027904,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0024630,"Brightness Normalization, Minimal Enhancement"
ISIC_0024333,
ISIC_0024932,Minimal Enhancement
ISIC_0029480,"Brightness Normalization, Minimal Enhancement"
ISIC_0032232,"CLAHE, Minimal Enhancement"
ISIC_0031005,"Brightness Normalization, Minimal Enhancement"
ISIC_0028220,Minimal Enhancement
ISIC_0030507,
ISIC_0028666,CLAHE
ISIC_0026735,"Hair Removal, Denoising"
ISIC_0028352,"Hair Removal, Denoising"
ISIC_0029094,"Hair Removal, Denoising"
ISIC_0025128,Minimal Enhancement
ISIC_0026045,"Brightness Normalization, Minimal Enhancement"
ISIC_0028508,"Brightness Normalization, Minimal Enhancement"
ISIC_0031498,CLAHE
ISIC_0028897,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0028156,Minimal Enhancement
ISIC_0024918,"Hair Removal, Brightness Correction, Denoising"
ISIC_0032287,Minimal Enhancement
ISIC_0025791,
ISIC_0030901,CLAHE
ISIC_0030995,CLAHE
ISIC_0031368,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031900,"Brightness Normalization, Minimal Enhancement"
ISIC_0026516,"Hair Removal, Denoising"
ISIC_0025724,"Brightness Normalization, Minimal Enhancement"
ISIC_0029570,"Brightness Correction, CLAHE"
ISIC_0025550,"Hair Removal, Minimal Enhancement"
ISIC_0025414,CLAHE
ISIC_0026475,"Hair Removal, Denoising"
ISIC_0024410,CLAHE
ISIC_0028930,"Brightness Normalization, Minimal Enhancement"
ISIC_0031389,Minimal Enhancement
ISIC_0030925,CLAHE
ISIC_0030122,"Brightness Normalization, Minimal Enhancement"
ISIC_0024864,"Brightness Correction, Minimal Enhancement"
ISIC_0031778,"Hair Removal, Denoising"
ISIC_0031377,"Brightness Normalization, Minimal Enhancement"
ISIC_0027126,"Hair Removal, Denoising"
ISIC_0030604,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0024958,
ISIC_0031025,"Brightness Normalization, Minimal Enhancement"
ISIC_0030951,"CLAHE, Denoising"
ISIC_0031957,"Brightness Correction, CLAHE"
ISIC_0031303,CLAHE
ISIC_0027067,"Brightness Correction, CLAHE"
ISIC_0031087,Minimal Enhancement
ISIC_0027187,
ISIC_0028285,"Hair Removal, Denoising"
ISIC_0026258,Minimal Enhancement
ISIC_0025235,CLAHE
ISIC_0028915,
ISIC_0029652,CLAHE
ISIC_0031295,"Brightness Normalization, Minimal Enhancement"
ISIC_0026647,"Hair Removal, Denoising"
ISIC_0025317,Brightness Correction
ISIC_0026420,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0028764,Minimal Enhancement
ISIC_0029021,CLAHE
ISIC_0027359,"Brightness Normalization, Minimal Enhancement"
ISIC_0025616,CLAHE
ISIC_0028075,Minimal Enhancement
ISIC_0026823,CLAHE
ISIC_0030929,Hair Removal
ISIC_0028493,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0028968,"Brightness Correction, CLAHE"
ISIC_0024739,Denoising
ISIC_0025188,"Brightness Correction, CLAHE"
ISIC_0029272,
ISIC_0032389,"Hair Removal, Denoising"
ISIC_0025709,"Brightness Normalization, Minimal Enhancement"
ISIC_0031746,"Brightness Normalization, Minimal Enhancement"
ISIC_0025500,Minimal Enhancement
ISIC_0030277,"Hair Removal, Denoising"
ISIC_0025941,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027832,Brightness Correction
ISIC_0031844,"Hair Removal, Denoising"
ISIC_0027797,Minimal Enhancement
ISIC_0025611,"Hair Removal, Brightness Normalization"
ISIC_0031197,"Hair Removal, Brightness Correction, CLAHE"
ISIC_0031270,Minimal Enhancement
ISIC_0029486,
ISIC_0031901,"CLAHE, Denoising"
ISIC_0032076,Minimal Enhancement
ISIC_0025321,"Hair Removal, CLAHE"
ISIC_0029404,"Hair Removal, Brightness Correction, Denoising"
ISIC_0030275,CLAHE
ISIC_0026092,"Hair Removal, Brightness Correction"
ISIC_0024904,Minimal Enhancement
ISIC_0028163,
ISIC_0024669,Brightness Correction
ISIC_0031217,"Brightness Normalization, CLAHE"
ISIC_0025599,Minimal Enhancement
ISIC_0025578,"Brightness Normalization, Minimal Enhancement"
ISIC_0029448,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0028714,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0030956,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0026693,Minimal Enhancement
ISIC_0027983,"Hair Removal, Denoising"
ISIC_0030770,"Brightness Correction, CLAHE"
ISIC_0032240,"Brightness Correction, Minimal Enhancement"
ISIC_0031759,CLAHE
ISIC_0029889,Hair Removal
ISIC_0027385,CLAHE
ISIC_0030882,"Hair Removal, Brightness Correction, Denoising"
ISIC_0029514,"Hair Removal, Denoising"
ISIC_0027672,CLAHE
ISIC_0026163,"Hair Removal, Minimal Enhancement"
ISIC_0025807,Brightness Correction
ISIC_0032745,"Hair Removal, CLAHE"
ISIC_0032557,Minimal Enhancement
ISIC_0033092,"Brightness Normalization, Minimal Enhancement"
ISIC_0027903,"Hair Removal, Brightness Correction, Denoising"
ISIC_0026456,Minimal Enhancement
ISIC_0033450,"Hair Removal, Brightness Normalization, Denoising"
ISIC_0033254,"Brightness Correction, CLAHE"
ISIC_0033158,"Hair Removal, Denoising"
ISIC_0032867,Brightness Correction
ISIC_0032545,"Brightness Normalization, CLAHE"
ISIC_0032692,"Brightness Normalization, Minimal Enhancement"
ISIC_0033608,Minimal Enhancement
ISIC_0033969,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033031,"Brightness Normalization, Minimal Enhancement"
ISIC_0032775,"Brightness Normalization, Minimal Enhancement"
ISIC_0033458,
ISIC_0032614,CLAHE
ISIC_0033349,"Denoising, Minimal Enhancement"
ISIC_0032919,"Brightness Normalization, Minimal Enhancement"
ISIC_0032866,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033135,"Brightness Normalization, Minimal Enhancement"
ISIC_0032538,Minimal Enhancement
ISIC_0033591,Minimal Enhancement
ISIC_0031648,"Hair Removal, Brightness Correction, Denoising"
ISIC_0033565,Brightness Correction
ISIC_0033123,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033230,"Brightness Normalization, CLAHE, Denoising"
ISIC_0033762,"Brightness Correction, Minimal Enhancement"
ISIC_0034214,"Brightness Normalization, Minimal Enhancement"
ISIC_0033749,CLAHE
ISIC_0034196,"Denoising, Minimal Enhancement"
ISIC_0031090,
ISIC_0032270,"Brightness Correction, Minimal Enhancement"
ISIC_0031950,Minimal Enhancement
ISIC_0028146,Hair Removal
ISIC_0027159,"Brightness Normalization, CLAHE"
ISIC_0028188,Minimal Enhancement
ISIC_0030722,CLAHE
ISIC_0026876,Minimal Enhancement
ISIC_0030606,"Brightness Correction, Minimal Enhancement"
ISIC_0024747,Minimal Enhancement
ISIC_0031346,"Hair Removal, CLAHE"
ISIC_0027210,Minimal Enhancement
ISIC_0025924,
ISIC_0031719,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0030070,"Brightness Normalization, Minimal Enhancement"
ISIC_0031093,"Hair Removal, Brightness Correction, CLAHE"
ISIC_0029608,Minimal Enhancement
ISIC_0024402,Hair Removal
ISIC_0027256,Minimal Enhancement
ISIC_0032715,
ISIC_0033991,CLAHE
ISIC_0033817,"Brightness Normalization, Minimal Enhancement"
ISIC_0032839,"Hair Removal, CLAHE"
ISIC_0032932,"Denoising, Minimal Enhancement"
ISIC_0031996,"CLAHE, Minimal Enhancement"
ISIC_0032890,"Brightness Normalization, Minimal Enhancement"
ISIC_0033844,CLAHE
ISIC_0026336,
ISIC_0029439,"Brightness Normalization, Minimal Enhancement"
ISIC_0031201,CLAHE
ISIC_0030283,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031706,Minimal Enhancement
ISIC_0024475,"Hair Removal, Denoising"
ISIC_0025677,"Brightness Normalization, Minimal Enhancement"
ISIC_0025873,
ISIC_0025197,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0032409,Brightness Correction
ISIC_0028680,"Brightness Normalization, Minimal Enhancement"
ISIC_0025244,Minimal Enhancement
ISIC_0025596,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027563,Brightness Normalization
ISIC_0025707,"Brightness Normalization, Minimal Enhancement"
ISIC_0029742,"Hair Removal, CLAHE"
ISIC_0025612,"Brightness Normalization, CLAHE"
ISIC_0027522,Brightness Correction
ISIC_0028406,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0025628,Denoising
ISIC_0026393,CLAHE
ISIC_0029877,"Hair Removal, Brightness Correction, Denoising"
ISIC_0024662,Minimal Enhancement
ISIC_0031215,"Brightness Normalization, CLAHE"
ISIC_0027856,"Hair Removal, CLAHE, Denoising"
ISIC_0028431,"Hair Removal, Minimal Enhancement"
ISIC_0030104,"Denoising, Minimal Enhancement"
ISIC_0026490,"Brightness Normalization, Minimal Enhancement"
ISIC_0027790,"Brightness Correction, Minimal Enhancement"
ISIC_0027888,Brightness Correction
ISIC_0024370,"Brightness Normalization, Minimal Enhancement"
ISIC_0025606,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0031103,Minimal Enhancement
ISIC_0031065,CLAHE
ISIC_0025250,CLAHE
ISIC_0024375,CLAHE
ISIC_0029099,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0031955,CLAHE
ISIC_0025249,"Brightness Normalization, Minimal Enhancement"
ISIC_0026713,"Brightness Normalization, Minimal Enhancement"
ISIC_0031276,"Hair Removal, Denoising"
ISIC_0028885,Denoising
ISIC_0024867,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027937,CLAHE
ISIC_0025425,Brightness Correction
ISIC_0024706,"Brightness Normalization, Minimal Enhancement"
ISIC_0027665,CLAHE
ISIC_0026467,"Denoising, Minimal Enhancement"
